resultado,desde,hasta,n,predicha,observada,period,model
local,0.0,0.2,54,0.16416361048170472,0.1111111111111111,2023-2025,frozen_dc
local,0.2,0.4,440,0.3167977752904124,0.31363636363636366,2023-2025,frozen_dc
local,0.4,0.6,484,0.488603454452655,0.48760330578512395,2023-2025,frozen_dc
local,0.6,0.8,156,0.6740963089231367,0.6794871794871795,2023-2025,frozen_dc
local,0.8,1.0,6,0.8114051520867503,1.0,2023-2025,frozen_dc
empate,0.0,0.2,124,0.1786243745360432,0.1693548387096774,2023-2025,frozen_dc
empate,0.2,0.4,1016,0.247862809861209,0.25393700787401574,2023-2025,frozen_dc
empate,0.4,0.6,0,,,2023-2025,frozen_dc
empate,0.6,0.8,0,,,2023-2025,frozen_dc
empate,0.8,1.0,0,,,2023-2025,frozen_dc
visitante,0.0,0.2,210,0.14523479669672718,0.11428571428571428,2023-2025,frozen_dc
visitante,0.2,0.4,624,0.30081709092361764,0.2980769230769231,2023-2025,frozen_dc
visitante,0.4,0.6,274,0.4831450299017131,0.48175182481751827,2023-2025,frozen_dc
visitante,0.6,0.8,32,0.6457396671692014,0.84375,2023-2025,frozen_dc
visitante,0.8,1.0,0,,,2023-2025,frozen_dc
local,0.0,0.2,76,0.15204600457346615,0.10526315789473684,2023-2025,walk_forward_dc
local,0.2,0.4,417,0.3065457978965937,0.2829736211031175,2023-2025,walk_forward_dc
local,0.4,0.6,451,0.4892105021850796,0.5033259423503326,2023-2025,walk_forward_dc
local,0.6,0.8,179,0.6713718548473,0.6871508379888268,2023-2025,walk_forward_dc
local,0.8,1.0,17,0.8470126663402462,0.9411764705882353,2023-2025,walk_forward_dc
empate,0.0,0.2,153,0.1667475402854256,0.1503267973856209,2023-2025,walk_forward_dc
empate,0.2,0.4,987,0.24566009309529016,0.25937183383991896,2023-2025,walk_forward_dc
empate,0.4,0.6,0,,,2023-2025,walk_forward_dc
empate,0.6,0.8,0,,,2023-2025,walk_forward_dc
empate,0.8,1.0,0,,,2023-2025,walk_forward_dc
visitante,0.0,0.2,243,0.14057563418709207,0.11522633744855967,2023-2025,walk_forward_dc
visitante,0.2,0.4,547,0.29849487261382013,0.27239488117001825,2023-2025,walk_forward_dc
visitante,0.4,0.6,296,0.4854050288612206,0.5067567567567568,2023-2025,walk_forward_dc
visitante,0.6,0.8,52,0.6666162300889806,0.7692307692307693,2023-2025,walk_forward_dc
visitante,0.8,1.0,2,0.8233998075612351,1.0,2023-2025,walk_forward_dc
local,0.0,0.2,72,0.1530665698804941,0.09722222222222222,2023-2025,walk_forward_poisson
